"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29383.3,29361.55,29403.3,29363.45,29326.4,29399.8,25.3,24.55,26.15,25.45,24.55,26.35,0,0,0,0,0,0,0,0,0,1.2,-1.6,4.6,1.8,-1.8,6,0,0,0
20,20,29345.6,29257.4,29416.45,29346.05,29270.45,29418.5,37,35.4,38.6,37.15,35.25,39.25,0,0,0,0,0,0,0,0,0,46.179874897716,41.7482814911226,50.5660256410256,46.1411904533573,39.6448373311276,52.3502699809151,0,0,0
30,20,28464.1,28330.5,28596.35,28484.85,28344.3,28621.35,53.6,50.55,56.6,52.95,51.05,55.1,0,0,0,0,0,0,0,0,0,44.9944855557357,39.3794019029531,50.6868239922566,43.7482050701713,37.3712213162641,50.3260899537423,0,0,0
40,20,27246,27025.05,27459.25,27272.45,27117.3,27416.3,76.5,72.55,80.65,74.95,71.55,79,0,0,0,0,0,0,0,0,0,43.4487418441541,37.1113230373665,49.627154996594,41.8255199268886,36.5285128194962,47.8192890860429,0,0,0
50,20,25548.15,25210.4,25859.4,25653.85,25382.65,25906.75,109.65,105.25,114.4,107.15,103,111.2,0,0,0,0,0,0,0,0,0,44.1730757636464,39.9409612412248,48.6505507816818,43.6286949793512,39.327412228638,48.0008072233167,0,0,0
60,20,23090.75,22760.3,23388.9,23327.15,23024,23609.05,157,149,164.55,151.15,143.4,159.3,0,0,0,0,0,0,0,0,0,43.1332781914324,39.3244870003415,46.9840506608779,40.8712663867011,36.3354540770249,44.833199642945,0,0,0
70,20,19849.35,19334.6,20319.8,20305.15,19751.3,20849.35,215.25,206.8,223.5,209.85,199.45,221.35,0,0,0,0,0,0,0,0,0,37.7187780103663,34.1241754923259,41.4520617591296,39.1610452311209,35.8192345370993,43.0699110586753,0,0,0
80,20,16063.2,15556.1,16597.95,16585.3,15871.95,17254.45,296.95,286.65,308.45,283.4,270.8,295.7,0,0,0,0,0,0,0,0,0,38.2643779329382,35.3277773630969,41.1742769148858,35.5288600378151,32.0858410577506,39.04837299539,0,0,0
90,20,11637.4,11113.9,12133.35,12511.05,11813,13159.8,380.1,366.95,392.65,360.85,348.75,373.05,0,0,0,0,0,0,0,0,0,28.2095319924535,25.4645167654493,30.7374578882448,27.8073469260551,24.8303377725735,30.5310121369999,0,0,0
100,20,8236.4,7729.65,8714.55,8961.9,8486,9443.8,445.35,436.3,455.65,429.35,420,439.7,0,0,0,0,0,0,0,0,0,17.4987108662357,15.0770965785937,20.0957968758041,19.3407197822818,16.5647343254224,21.9590121358686,0,0,0
110,20,6016.7,5720.6,6338.85,6567.4,6218.1,6918.4,486.5,478.8,494.4,468.45,460.65,475.65,0,0,0,0,0,0,0,0,0,9.43146933166578,7.36985677072714,11.6954832723894,9.27805577771245,7.3302786869837,11.201483606826,0,0,0
120,20,4935.3,4711.5,5174.05,5354.55,5108.05,5606.8,495.5,489.95,500.6,496.25,489.9,502.4,0,0,0,0,0,0,0,0,0,1.97888352793001,0.0235241968221678,3.93760712165861,6.05799199472958,4.11754083732831,8.28806250988427,0,0,0
130,20,4661.3,4493.05,4810.6,4716.55,4513.85,4951.35,504.65,500.1,509.8,501.5,495.7,507.45,0,0,0,0,0,0,0,0,0,1.92135558596892,0.29670312799312,3.50285052447216,1.11065349178158,-0.261165141660896,2.49942028524487,0,0,0
140,20,4498.05,4355.35,4618.3,4604.05,4437.35,4747.1,505.45,500.2,510.4,500.5,492.7,508.1,0,0,0,0,0,0,0,0,0,0.201059643315416,-1.18918551263715,1.4595584715641,-0.152819680752966,-1.89148186683516,1.58290209814664,0,0,0
150,20,4363.75,4193.95,4530.4,4508,4325.6,4669,498.55,491.45,506.5,503.7,497.5,509.8,0,0,0,0,0,0,0,0,0,-1.31144665751044,-3.00687492346702,0.542340050864594,0.777445694611295,-1.22320507606701,2.74064889414032,0,0,0
160,20,4604.9,4435.25,4754.4,4544.05,4378.15,4703.25,508.3,500.85,516.45,497.65,489.95,505.75,0,0,0,0,0,0,0,0,0,2.06438928362159,-0.153756285842678,3.98882913012648,-1.11434253845434,-3.18453995372384,0.772241703617891,0,0,0
170,20,4400.95,4188.6,4614.8,4618.3,4397.85,4817.35,502.5,496.65,507.85,504,500.7,507.55,0,0,0,0,0,0,0,0,0,-1.00636930323932,-3.0662336961062,0.856554356496018,1.41028334292397,-0.483654569850377,3.26160123640676,0,0,0
180,20,4533.65,4379.35,4691.5,4552.95,4391.75,4709.2,500.35,495.95,504.95,500.05,494.5,505.55,0,0,0,0,0,0,0,0,0,-0.358137685305637,-1.958348582582,1.22320338283283,-0.768306431536766,-1.8993367810625,0.386354871291653,0,0,0
190,20,4607.05,4460.6,4759,4595.2,4423.15,4758.35,500.1,495.85,504.35,504.8,499.3,510.45,0,0,0,0,0,0,0,0,0,-0.0117238694210594,-1.09564853922519,1.19737589487426,0.994331948100062,-0.263718448706551,2.3967230256997,0,0,0
200,20,4603.65,4481.8,4731.5,4391.45,4235.5,4542.6,500.2,494.9,505.25,502.3,498,507.1,0,0,0,0,0,0,0,0,0,0.082601758446346,-1.44651444012365,1.9016616102571,-0.438199636203699,-1.76129213019516,0.867717267300951,0,0,0
210,20,4867.25,4735.95,5002.8,5072.95,4933.3,5217.35,482.9,476.45,488.75,472.8,467.65,477.5,1.3,0.9,1.75,2.05,1.6,2.5,48.3,46.75,49.85,-3.39957068358991,-5.09879390940827,-1.77385753628939,-5.83344504719605,-6.98302625399254,-4.58820310663455,0,0,0
